time_sec,VehicleSpeed_mph,EngineSpeed_rpm,EngineTorque,AccelPedalPos,BrakePedalPos,TurnSignal,Latitude_deg,Longitude_deg,Altitude,Distance,SteerAngle,TransmissionGear,SPaT_signal,SPaT_dist
0,23.83810759,2321.373607,181.9439247,19.97801667,0,0,40.58151878,-105.077463,150756.7639,0,1.263648202,4,3,118.7411858
1,25.18364449,1888.784906,63.5,12.549024,0,0,40.58151717,-105.0775842,150738.4195,10.24152544,-1.32681803,5,3,108.4996603
2,25.59289867,1932.336262,46.94205238,5.007142739,0,0,40.58151728,-105.0777143,150713.0912,21.22298269,5.184268615,5,3,97.51820308
3,25.48339643,1398.94909,-8.576611529,0,0,0,40.58151824,-105.0778468,150712.361,32.41597884,3.688520338,6,3,86.32520693
4,24.90435528,1379.24203,-19,0,0,0,40.58151892,-105.0779784,150703.9482,43.53516633,4.186379016,6,3,75.20601944
5,23.94624287,1275.261094,-15.92791405,0,14.901966,0,40.58151932,-105.0781071,150690.9986,54.39966833,5,6,3,64.34151744
6,21.58532694,1184.636439,-14,0,21.960792,0,40.58151929,-105.0782306,150685.5395,64.8327077,4.686271624,6,3,53.90847807
7,18.7285103,1387.11445,-14,0,21.960792,0,40.58151886,-105.078344,150658.168,74.4082494,4.4375,5,3,44.33293638
8,15.83142428,1172.25,-15,0,22.352949,0,40.5815183,-105.0784431,150632.249,82.77313022,4.25,5,3,35.96805555
9,12.34156502,1170.360266,-4.938458892,0,25.098048,0,40.5815179,-105.0785259,150618.6407,89.76484758,-3.001844105,4,3,28.97633819
10,8.332338418,870.5,3.510814935,0,26.274519,0,40.58151778,-105.0785909,150638.8698,95.26187489,3.6875,3,3,23.47931088
11,3.952376851,800.0054243,10.5,0,26.274519,0,40.58151793,-105.0786358,150674.0881,99.04627054,4.0625,1,3,19.69491523
12,0.98894314,708.5441955,20.47556942,0,23.921577,0,40.58151806,-105.0786594,150699.1297,101.0418533,-1.3125,1,3,17.69933245
13,0,722.061684,16.47912902,0,23.921577,0,40.58151806,-105.0786667,150697.9313,101.6609063,-1.306040687,1,3,17.08027947
14,0,0,-19.5,0,23.921577,0,40.58151806,-105.0786673,150727.3144,101.7131079,-1.25,1,3,17.02807783
15,0,0,-19.5,0,23.921577,0,40.58151806,-105.0786676,150756.4483,101.7315327,-1.25,1,3,17.00965304
16,0,0,-19.5,0,23.921577,0,40.58151806,-105.0786678,150739.8893,101.7499575,-1.3125,1,3,16.99122825
17,0,0,-19.5,0,23.921577,0,40.58151806,-105.078668,150734.1973,101.7683823,-0.8125,1,3,16.97280346
18,0,712.3438738,-5.989545193,0,0,0,40.58151806,-105.0786682,150742.3531,101.7868071,0.068039339,1,3,16.95437867
19,0.729201578,686.9605597,8.509483019,0,0,0,40.58151806,-105.078669,150754.4823,101.8558992,2.881082096,1,1,16.8852866
20,0.75003269,734.1962925,9.98738105,0,6.782246985,0,40.58151806,-105.0786726,150766.867,102.1566603,0.5625,1,1,16.58452546
21,2.414415108,1342.637114,115.9830956,19.215693,0,0,40.58151806,-105.0786783,150793.4383,102.6368443,1.1875,1,1,16.1043415
22,8.064978447,2086.978886,171.4568067,22.352949,0,0,40.58151806,-105.0786926,150833.4694,103.8493653,3.0625,1,1,14.89182043
23,13.66397081,2789.858849,140.6110391,21.960792,0,0,40.58151836,-105.0787315,150856.8528,107.133936,5.102291138,1,1,11.60724978
24,17.53292572,2524.237728,153,22.352949,0,0,40.58151892,-105.0787991,150861.5412,112.8389513,0.25,2,1,5.902234433
25,20.5056174,2599.749885,110.8895806,23.52942,0,0,40.58151963,-105.0788885,150869.0051,120.3939687,7.184550622,2,3,157.066818
26,24.08754291,2299.230609,156.5,23.52942,0,0,40.58152031,-105.0789951,150862.1054,129.3933541,10.06183999,4,3,148.0674327
27,27.07155961,2334.540339,117.6774094,22.745106,0,0,40.58151979,-105.0791182,150840.217,139.7898061,7.003478339,4,3,137.6709807
28,28.70266743,2144.196341,92.48656555,16.078437,0,0,40.58151779,-105.0792564,150804.0008,151.4669105,1.058292463,5,3,125.9938763
29,29.41480223,1962.879004,9.287942488,7.450983,0,0,40.58151545,-105.079404,150790.17,163.9289958,2.753320423,5,3,113.531791
30,29.25139301,1645.511908,-8.5,0,5.882355,0,40.58151354,-105.0795557,150809.8648,176.7462027,3.625717493,6,3,100.714584
31,28.20127633,1569.722652,-20.5,0,10.196082,0,40.58151247,-105.0797068,150786.0273,189.5088899,3.312970508,6,3,87.95189683
32,26.96530635,1504.486404,-21,0,12.156867,0,40.58151222,-105.0798531,150789.3616,201.8612976,3.127200536,6,3,75.59948921
33,25.69530079,1393.210959,-19,0,16.38941843,0,40.58151253,-105.0799939,150833.8288,213.7553509,4.747707097,6,1,63.70543584
34,23.24704986,1273.5,-16.5,0,21.960792,0,40.58151293,-105.080127,150821.8989,224.9944059,4.690903546,6,1,52.4663809
35,19.69801351,1324.236703,-8.14607896,0,16.89421572,0,40.58151306,-105.0802477,150818.4894,235.1828125,3.501342642,5,1,42.27797431
36,19.5828726,1630.855954,132.8042482,16.470594,0,0,40.58151306,-105.0803537,150768.4792,244.1404873,0.710905112,5,1,33.32029947
37,21.75354614,1791.835202,182.5838287,21.568635,0,0,40.58151321,-105.0804566,150728.6727,252.8247248,3.439828961,5,1,24.63606195
38,24.50010729,1929.422618,161,21.176478,0,0,40.58151379,-105.0805693,150762.0807,262.3456363,6.002085946,5,1,15.11515043
39,26.76749761,2035.93507,149.5819887,21.176478,0,0,40.58151447,-105.080695,150754.5458,272.9604943,2.625,5,1,4.500292519
40,28.65818421,1667.690652,149.9247627,21.960792,0,0,40.58151549,-105.0808366,150679.4991,284.9148993,2.745959194,6,3,149.9095444
41,30.24376701,1689.027813,107.2669627,16.078437,0,0,40.58151626,-105.0809873,150644.8312,297.648893,4,6,3,137.1755507
42,30.6666048,1823.932795,63.07926795,12.941181,0,0,40.58151669,-105.0811426,150700.251,310.7594628,3.875,6,3,124.0649809
43,30.65085481,1754.867772,6.658897586,0,0,0,40.58151725,-105.0813022,150753.0231,324.2429964,5.3125,6,3,110.5814474
44,30.12865747,1688.074981,-16,0,0,0,40.58151781,-105.0814616,150737.1996,337.6974108,4.934847639,6,3,97.12703292
45,28.95107925,1612.916392,-22.5,0,12.549024,0,40.58151806,-105.0816171,150682.9225,350.8374807,3.8125,6,3,83.98696305
46,27.2945908,1502.496545,-10.5,13.22223292,0,0,40.58151806,-105.0817669,150649.5112,363.484495,8.628045535,6,1,71.33994877
47,27.46376224,1650.638745,99.15800971,16.078437,0,0,40.58151744,-105.0819106,150652.15,375.6190566,2.5,6,1,59.20538716
48,28.14332744,1682.803777,105,19.60785,0,0,40.58151649,-105.0820527,150679.5403,387.6233765,0.632935764,6,1,47.2010672
